Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
Celular pedorro,0.35893920063972473,221,155,388,415,1743650449.8111687
Celular pedorro,0.35893920063972473,221,155,388,415,1743650449.8602266
Gato,0.2612245976924896,7,32,636,478,1743650449.9072776
Control remoto,0.3906534016132355,216,229,391,479,1743650449.9564147
Celular pedorro,0.3404802083969116,214,230,390,479,1743650449.9565866
Control remoto,0.3906534016132355,216,229,391,479,1743650450.0050955
Celular pedorro,0.3404802083969116,214,230,390,479,1743650450.0052643
Celular pedorro,0.5495218634605408,214,238,391,479,1743650450.0985425
Gato,0.4494921565055847,0,2,263,473,1743650450.1475217
Celular pedorro,0.41398394107818604,222,239,399,479,1743650450.1476493
Control remoto,0.40763744711875916,226,239,399,479,1743650450.1477923
Control remoto,0.5967599153518677,228,246,399,479,1743650450.1960616
Control remoto,0.32368770241737366,232,251,399,479,1743650450.2436266
Control remoto,0.32368770241737366,232,251,399,479,1743650450.2922463
Control remoto,0.7000647187232971,225,249,399,479,1743650450.339492
Control remoto,0.4952833354473114,225,250,396,479,1743650450.388826
Celular pedorro,0.2708795964717865,222,250,395,479,1743650450.3889956
Celular pedorro,0.4939654469490051,214,249,389,479,1743650450.434274
reloj,0.31031930446624756,430,43,555,155,1743650450.4344468
Gato,0.25250932574272156,0,2,260,474,1743650450.434553
Control remoto,0.312298446893692,206,250,380,479,1743650450.4834034
Celular pedorro,0.45771825313568115,192,250,380,480,1743650450.5420234
Celular pedorro,0.3376942574977875,84,249,381,480,1743650450.542194
Control remoto,0.279436856508255,208,251,379,479,1743650450.542337
Celular pedorro,0.45771825313568115,192,250,380,480,1743650450.5947766
Celular pedorro,0.3376942574977875,84,249,381,480,1743650450.5949466
Control remoto,0.279436856508255,208,251,379,479,1743650450.5950887
Celular pedorro,0.4056697487831116,200,249,377,480,1743650450.6434913
Celular pedorro,0.2543416917324066,82,248,378,479,1743650450.6436574
Celular pedorro,0.4346294403076172,202,249,375,479,1743650450.690358
Celular pedorro,0.33488383889198303,199,248,372,479,1743650450.7391865
libro,0.2607841193675995,197,247,371,479,1743650450.786924
Celular pedorro,0.26373013854026794,197,245,369,480,1743650450.9308941
Celular pedorro,0.3050754964351654,197,240,371,479,1743650451.091601
Celular pedorro,0.3997785747051239,196,240,370,479,1743650451.1396801
Celular pedorro,0.3997785747051239,196,240,370,479,1743650451.189088
Celular pedorro,0.5605729222297668,196,236,370,478,1743650451.2375028
Control remoto,0.5028618574142456,197,235,369,478,1743650451.2376788
Pelota,0.34136834740638733,415,22,531,140,1743650451.2834926
Control remoto,0.2878127098083496,199,215,370,466,1743650451.28364
Celular pedorro,0.25691255927085876,198,217,370,468,1743650451.2837842
vase,0.39582058787345886,425,0,545,98,1743650451.3318245
Gato,0.4997401535511017,7,2,636,471,1743650451.5250452
tie,0.2948105037212372,250,165,404,423,1743650451.5251784
Gato,0.4026033580303192,4,0,637,477,1743650451.5715842
Gato,0.4026033580303192,4,0,637,477,1743650451.6216557
Pelota,0.6085228323936462,469,135,570,234,1743650451.7340703
Humano,0.32705482840538025,286,2,639,478,1743650451.7342038
Pelota,0.6085228323936462,469,135,570,234,1743650451.7788289
Humano,0.32705482840538025,286,2,639,478,1743650451.7789624
Pelota,0.4829201102256775,471,157,570,254,1743650451.8254433
Pelota,0.4756236672401428,471,175,569,268,1743650451.8745694
Pelota,0.4756236672401428,471,175,569,268,1743650451.9223664
Pelota,0.4001682698726654,468,191,569,282,1743650451.96744
Pelota,0.6176150441169739,462,205,562,293,1743650452.017967
donut,0.4896562099456787,457,223,553,305,1743650452.0658417
Pantalla,0.3518633544445038,3,0,328,131,1743650452.0659702
Pantalla,0.3312065303325653,4,0,328,89,1743650452.0660648
donut,0.4813782870769501,451,222,548,305,1743650452.161465
donut,0.4813782870769501,451,222,548,305,1743650452.2086167
libro,0.37194350361824036,0,126,140,227,1743650452.2576885
Pantalla,0.3277786076068878,5,0,321,81,1743650452.2578156
Pantalla,0.2946060001850128,1,0,320,115,1743650452.2579112
donut,0.3077101409435272,449,214,546,296,1743650452.306301
donut,0.30054762959480286,447,202,543,285,1743650452.3545442
Semaforo,0.32685723900794983,251,0,312,51,1743650452.5448627
donut,0.310283899307251,445,189,540,272,1743650452.5920682
donut,0.572639524936676,449,177,546,260,1743650452.688771
donut,0.8690299391746521,471,172,570,251,1743650452.8802025
Sombrilla,0.30953729152679443,1,0,403,246,1743650452.9270253
Sombrilla,0.30953729152679443,1,0,403,246,1743650452.9752452
donut,0.275331050157547,478,176,569,256,1743650453.1670852
donut,0.275331050157547,478,176,569,256,1743650453.2159793
donut,0.7826693654060364,473,165,562,245,1743650453.5987515
donut,0.7604405879974365,472,147,562,228,1743650453.6437619
donut,0.26201027631759644,476,146,564,226,1743650453.693614
donut,0.4320448637008667,469,134,560,216,1743650453.838871
Pantalla,0.29506710171699524,262,256,378,460,1743650453.8841767
Pantalla,0.29506710171699524,262,256,378,460,1743650453.9324074
donut,0.5198615789413452,490,120,579,197,1743650454.028468
Pelota,0.28697338700294495,497,109,586,189,1743650454.1887999
Pelota,0.4553924798965454,495,109,584,188,1743650454.4748185
Pelota,0.4553924798965454,495,109,584,188,1743650454.523285
Celular pedorro,0.37925195693969727,280,236,396,439,1743650454.572357
Pantalla,0.25335240364074707,280,236,397,437,1743650454.5725253
Pantalla,0.318596750497818,281,235,396,434,1743650454.618625
Pantalla,0.25698697566986084,284,234,402,435,1743650454.7623737
donut,0.2748611271381378,507,107,598,187,1743650454.9066954
Pelota,0.5739237070083618,512,79,602,162,1743650455.0029864
Pantalla,0.33009904623031616,276,196,398,395,1743650455.003093
Pantalla,0.3292216956615448,273,196,404,398,1743650455.0491862
Pantalla,0.3292216956615448,273,196,404,398,1743650455.097969
Celular pedorro,0.25711700320243835,218,196,365,405,1743650455.3367932
laptop,0.2615995705127716,196,69,637,479,1743650455.3855915
laptop,0.2615995705127716,196,69,637,479,1743650455.4313276
Sombrilla,0.2968389391899109,3,0,639,476,1743650455.4797184
Sombrilla,0.2968389391899109,3,0,639,476,1743650455.5270448
Sombrilla,0.26267364621162415,2,6,605,445,1743650455.6239018
Sombrilla,0.26267364621162415,2,6,605,445,1743650455.671435
tie,0.3189428150653839,217,170,399,373,1743650455.719393
Sombrilla,0.3115479648113251,1,10,566,456,1743650455.7195172
tie,0.3252602517604828,222,169,405,366,1743650455.7673001
Humano,0.2656257152557373,34,4,637,477,1743650455.7674432
tie,0.3252602517604828,222,169,405,366,1743650455.8163395
Humano,0.2656257152557373,34,4,637,477,1743650455.8164678
Sombrilla,0.2504836320877075,2,3,524,472,1743650455.910821
Sombrilla,0.2504836320877075,2,3,524,472,1743650455.9593089
Humano,0.41521307826042175,20,4,637,479,1743650456.0083637
Sombrilla,0.2683940827846527,0,0,610,430,1743650456.0564065
